Name,Instance count,Size (bytes)
org.apache.lucene.codecs.lucene54.Lucene54DocValuesConsumer$NumberType[ ],1,24
java.util.regex.Pattern$CharPropertyNames$6,1,16
sun.nio.ch.Util$1,1,16
org.apache.lucene.codecs.perfield.PerFieldDocValuesFormat$ConsumerAndSuffix,1,24
org.apache.lucene.index.NumericDocValuesWriter$NumericIterator,1,32
java.util.regex.Pattern$CharPropertyNames$15,1,16
java.util.regex.Pattern$CharPropertyNames$10,1,16
org.apache.lucene.util.packed.BulkOperationPacked8,1,48
org.apache.lucene.util.packed.BulkOperationPacked7,1,48
sun.net.www.protocol.https.Handler,1,32
java.lang.ProcessImpl,1,32
org.apache.lucene.util.packed.BulkOperationPacked11,1,48
java.util.regex.Pattern$CharPropertyNames$5,1,16
java.util.regex.Pattern$CharPropertyNames$16,1,16
org.apache.lucene.index.NumericDocValuesWriter$1,1,24
org.apache.lucene.util.packed.BulkOperationPacked10,1,48
org.apache.lucene.util.packed.BulkOperationPacked9,1,48
java.security.Provider[ ],1,16
sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint,1,24
sun.net.www.protocol.http.Handler,1,24
org.apache.lucene.util.packed.BulkOperationPacked15,1,48
org.apache.lucene.util.packed.BulkOperationPacked17,1,48
org.apache.lucene.util.packed.BulkOperationPacked19,1,48
java.util.regex.Pattern$LastNode,1,16
java.util.regex.Pattern$CharPropertyNames$19,1,16
java.util.regex.Pattern$CharPropertyNames$22,1,16
org.apache.lucene.util.packed.BulkOperationPacked16,1,48
sun.misc.FloatingDecimal$1,1,16
sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint$Operator[ ],1,40
com.jprofiler.agent.probe.c.g,1,24
sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraints,1,16
com.jprofiler.agent.probe.a.a.f,1,40
sun.nio.fs.WindowsFileSystem,1,32
sun.security.jca.ProviderList$1,1,96
com.jprofiler.agent.probe.a.a.a,1,40
java.lang.InheritableThreadLocal,1,16
com.jprofiler.agent.probe.c.d,1,32
com.jprofiler.agent.probe.c.f,1,32
java.net.SocketPermission,1,56
java.math.BigInteger[ ][ ],1,168
sun.nio.fs.WindowsPathType[ ],1,40
java.security.AllPermissionCollection,1,24
sun.security.util.DisabledAlgorithmConstraints,1,24
sun.security.provider.MD5,1,56
sun.misc.FDBigInteger[ ],1,1376
sun.security.provider.NativeSeedGenerator,1,16
sun.security.util.AlgorithmDecomposer,1,16
com.jprofiler.agent.triggers.TriggerInterceptor,1,48
com.jprofiler.agent.triggers.TriggerInterceptor$1,1,24
javax.crypto.spec.IvParameterSpec,1,16
java.text.FieldPosition[ ],1,16
com.jprofiler.agent.probe.a.a.c,1,40
com.jprofiler.agent.probe.a.a.d,1,40
com.jprofiler.agent.probe.a.a.g,1,40
sun.nio.fs.WindowsFileSystemProvider,1,16
sun.text.resources.en.FormatData_en,1,48
sun.util.locale.provider.DecimalFormatSymbolsProviderImpl,1,24
sun.util.resources.CurrencyNames,1,48
java.text.DontCareFieldPosition,1,32
sun.text.resources.en.FormatData_en_US,1,48
xaurora.system.SystemManager,1,64
xaurora.io.DataFileIO,1,24
xaurora.system.TimeManager,1,24
sun.util.locale.provider.NumberFormatProviderImpl,1,24
java.util.Collections$EmptyEnumeration,1,16
xaurora.system.SecurityManager,1,24
java.math.RoundingMode[ ],1,48
java.util.Currency$CurrencyNameGetter,1,16
sun.util.locale.provider.DateFormatSymbolsProviderImpl,1,24
sun.text.resources.FormatData,1,48
org.apache.log4j.ConsoleAppender,1,64
sun.util.resources.en.CurrencyNames_en_US,1,48
xaurora.io.SystemIO,1,16
org.apache.log4j.DefaultCategoryFactory,1,16
org.apache.log4j.Hierarchy,1,48
sun.util.locale.provider.CalendarDataUtility$CalendarWeekParameterGetter,1,16
com.jprofiler.agent.sampler.Sampler,1,376
sun.util.locale.provider.CalendarDataProviderImpl,1,24
com.jprofiler.api.agent.mbean.RemoteController,1,16
java.lang.Long[ ],1,1040
xaurora.text.TextIndexer,1,48
org.apache.log4j.helpers.QuietWriter,1,32
sun.util.locale.provider.CurrencyNameProviderImpl,1,24
java.text.DontCareFieldPosition$1,1,16
org.apache.lucene.util.packed.PackedInts$Decoder[ ],1,152
org.apache.lucene.util.packed.PackedInts$Encoder[ ],1,152
java.util.ResourceBundle$1,1,40
org.apache.lucene.util.packed.BulkOperationPacked1,1,48
org.apache.lucene.util.packed.BulkOperationPacked2,1,48
org.apache.log4j.spi.RootLogger,1,40
org.apache.log4j.or.RendererMap,1,16
java.util.ResourceBundle$Control,1,16
org.apache.lucene.index.DocValuesUpdate$NumericDocValuesUpdate[ ],1,16
com.jprofiler.agent.sampler.b,1,64
org.apache.log4j.spi.DefaultRepositorySelector,1,16
org.apache.lucene.index.DocValuesUpdate$BinaryDocValuesUpdate[ ],1,16
com.jprofiler.agent.h,1,16
java.util.ResourceBundle$RBClassLoader,1,72
java.util.ResourceBundle$Control$CandidateListCache,1,24
org.apache.lucene.util.packed.PackedInts$Format[ ],1,24
org.apache.lucene.util.packed.Packed64SingleBlock$Packed64SingleBlock4,1,24
org.apache.lucene.util.packed.BulkOperationPacked5,1,48
sun.util.resources.CalendarData,1,48
org.apache.lucene.util.packed.PackedInts$Format$2,1,24
org.apache.log4j.or.DefaultRenderer,1,16
sun.util.resources.en.CalendarData_en,1,48
sun.util.resources.LocaleData$LocaleDataResourceBundleControl,1,16
org.apache.lucene.util.packed.BulkOperationPacked4,1,48
com.jprofiler.agent.mbean.d,1,16
com.jprofiler.agent.mbean.c$b,1,24
sun.util.resources.LocaleData,1,16
org.apache.lucene.util.packed.BulkOperationPacked6,1,48
sun.util.locale.provider.LocaleProviderAdapter$Type[ ],1,40
sun.util.locale.provider.SPILocaleProviderAdapter,1,16
java.lang.String[ ][ ],1,120
sun.util.locale.provider.AuxLocaleProviderAdapter$NullProvider,1,16
java.util.Collections$EmptyIterator,1,16
org.apache.lucene.util.packed.BulkOperationPacked3,1,48
sun.util.locale.provider.CalendarProviderImpl,1,24
org.apache.lucene.util.packed.PackedInts$Format$1,1,24
sun.util.locale.provider.JRELocaleProviderAdapter,1,72
