Name,Instance count,Size (bytes)
java.security.ProtectionDomain$Key,27,432
java.security.ProtectionDomain,27,1080
java.security.spec.ECFieldF2m,26,624
java.util.zip.CRC32,26,416
java.nio.DirectByteBufferR,25,1600
java.util.Collections$UnmodifiableRandomAccessList,25,600
org.apache.lucene.util.WeakIdentityMap$IdentityWeakReference,25,800
java.util.Date,25,600
org.apache.log4j.helpers.PatternParser$LiteralPatternConverter,25,800
java.util.concurrent.atomic.AtomicLong,24,576
sun.nio.cs.UTF_8$Encoder,24,1344
java.util.concurrent.ConcurrentHashMap$KeySetView,24,576
sun.security.x509.OIDMap$OIDInfo,24,768
com.sun.proxy.$Proxy3,23,368
org.apache.lucene.store.ByteBufferIndexInput$SingleBufferImpl,23,1472
org.apache.lucene.codecs.blocktree.BlockTreeTermsWriter$PendingBlock,23,1104
sun.reflect.UnsafeStaticObjectFieldAccessorImpl,23,736
org.apache.lucene.index.FieldInfo,22,1056
sun.reflect.DelegatingMethodAccessorImpl,22,352
java.lang.ThreadLocal$ThreadLocalMap$Entry,22,704
org.apache.lucene.codecs.lucene50.Lucene50CompoundReader$FileEntry,22,704
java.util.concurrent.ConcurrentHashMap$KeyIterator,21,1176
sun.nio.ch.FileChannelImpl$Unmapper,21,840
org.apache.lucene.util.WeakIdentityMap$1,21,672
org.apache.lucene.store.MMapDirectory$2$1,21,504
org.apache.lucene.util.WeakIdentityMap,21,504
sun.security.x509.AVAKeyword,21,504
java.util.Arrays$ArrayList,21,504
org.apache.lucene.util.fst.Builder$CompiledNode,20,480
com.jprofiler.agent.util.a.a.b.n$m[ ],20,784
com.jprofiler.agent.util.a.a.b.n,20,2080
java.security.spec.ECFieldFp,20,320
sun.nio.fs.WindowsNativeDispatcher$FirstFile,20,640
java.util.Locale$LocaleKey,19,456
sun.util.locale.BaseLocale$Key,19,760
sun.util.locale.BaseLocale,19,608
java.util.Locale,19,608
java.io.BufferedOutputStream,19,456
org.apache.lucene.index.SegmentCommitInfo,19,1824
sun.security.x509.AlgorithmId,19,608
sun.nio.fs.WindowsException,18,720
sun.misc.MetaIndex,18,432
java.lang.RuntimePermission,18,432
org.apache.lucene.index.IndexFileDeleter$RefCount,18,432
java.security.AccessControlContext,18,720
java.text.DateFormat$Field,18,432
java.util.regex.Pattern$CharPropertyNames$4,18,288
java.nio.file.attribute.FileAttribute[ ],18,288
java.util.ArrayDeque,17,408
java.util.zip.ZipCoder,17,544
org.apache.lucene.util.BytesRefBuilder,17,272
java.util.zip.Inflater,17,816
java.util.zip.ZStreamRef,17,408
java.util.jar.JarFile$JarFileEntry,17,1632
java.lang.management.PlatformComponent[ ],16,328
java.io.ObjectStreamField[ ],16,456
java.util.jar.JarFile,16,1024
java.lang.management.PlatformComponent,15,720
java.nio.channels.Channels$1,15,480
java.util.zip.CheckedOutputStream,15,360
org.apache.lucene.store.FSDirectory$FSIndexOutput$1,15,360
com.jprofiler.agent.sampler.Sampler$c,15,480
com.jprofiler.agent.probe.structures.p$b,15,360
com.jprofiler.agent.probe.structures.p$c,15,360
com.jprofiler.agent.probe.structures.p$a,15,360
org.apache.lucene.store.FSDirectory$FSIndexOutput,15,720
com.jprofiler.agent.probe.d.e,15,840
com.jprofiler.agent.probe.d.c,15,2040
com.jprofiler.agent.probe.d.f,15,360
com.jprofiler.agent.probe.d.d,15,240
com.jprofiler.api.agent.probe.ThreadLocalStack,15,240
com.jprofiler.api.agent.probe.ThreadLocalStack$1,15,360
java.lang.Byte[ ],15,1376
org.apache.lucene.util.BytesRefHash,14,784
org.apache.lucene.index.TermsHashPerField$PostingsBytesStartArray,14,336
sun.reflect.NativeMethodAccessorImpl,14,336
java.lang.invoke.LambdaFormEditor$Transform$Kind,14,336
org.apache.lucene.util.packed.BulkOperationPackedSingleBlock,14,448
org.apache.log4j.CategoryKey,14,336
java.util.LinkedHashMap$LinkedEntrySet,14,224
java.lang.ClassValue$Entry,13,416
sun.reflect.DelegatingClassLoader,13,936
com.jprofiler.agent.probe.e.g,13,312
com.jprofiler.agent.probe.e.g[ ],13,392
java.math.MutableBigInteger,13,312
java.util.Formatter$Flags,13,208
org.apache.log4j.Level,13,312
java.io.FileInputStream,12,384
java.io.FileOutputStream,12,384
java.util.TreeMap$EntrySet,12,192
java.util.TreeMap$EntryIterator,12,384
java.util.TreeMap$KeyIterator,12,384
com.jprofiler.agent.probe.structures.a,12,288
java.lang.invoke.Invokers,12,288
javax.crypto.CryptoPermission,12,480
sun.security.x509.X500Name,12,576
sun.security.x509.RDN[ ],12,456
java.util.regex.Pattern$Branch,12,384
java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle,12,480
sun.util.calendar.ZoneInfo,12,672
java.util.regex.Pattern$BranchConn,12,192
java.lang.invoke.SimpleMethodHandle,12,384
java.util.regex.Pattern$Node[ ],12,568
java.lang.Thread,12,4512
java.nio.DirectByteBuffer,11,704
